Ticker,Length,Start Date,End Date,Highest,Lowest,Last Price
Cocoa,5763,2000-01-03,2022-12-23,3826.0,674.0,2637.0
Coffee,5760,2000-01-03,2022-12-23,306.25,41.5,171.8000030517578
Copper,5607,2000-08-30,2022-12-26,5.010000228881836,0.6039999723434448,3.8534998893737793
Corn,5613,2000-07-17,2022-12-23,843.75,174.0,666.0
Cotton,5762,2000-01-03,2022-12-23,227.0,28.200000762939453,85.13999938964844
Gas,5608,2000-08-30,2022-12-26,15.779999732971191,1.4320000410079956,5.256999969482422
Gold,5602,2000-08-30,2022-12-26,2072.0,255.0,1812.300048828125
Oil,5612,2000-08-23,2022-12-26,147.27000427246094,-40.31999969482422,79.91000366210938
Palladium,5310,2000-01-04,2022-12-26,3380.5,145.0,1768.0
Platinum,5070,2000-01-04,2022-12-26,2251.10009765625,406.0,1034.199951171875
Silver,5603,2000-08-30,2022-12-26,49.52000045776367,4.026000022888184,24.06999969482422
Soybeans,5605,2000-09-15,2022-12-23,1794.75,418.0,1485.75
Sugar,5723,2000-03-01,2022-12-23,36.08000183105469,4.940000057220459,21.0
Wheat,5601,2000-07-17,2022-12-23,1425.25,232.0,774.5
