Id,SalePrice
1461,120482.0
1462,158530.36
1463,178773.88
1464,191591.75
1465,198725.0
1466,174011.95
1467,175635.61
1468,162346.73
1469,192392.62
1470,125308.92
1471,171112.14
1472,98229.45
1473,96970.87
1474,149911.52
1475,112049.336
1476,382586.7
1477,249399.11
1478,289325.75
1479,284401.1
1480,510837.72
1481,329680.16
1482,201344.53
1483,180909.72
1484,159273.5
1485,183495.23
1486,199971.34
1487,323897.44
1488,247315.22
1489,203455.23
1490,247561.19
1491,190822.22
1492,103628.54
1493,173983.58
1494,298149.5
1495,308257.53
1496,222501.83
1497,186155.7
1498,167442.7
1499,163691.25
1500,160534.31
1501,175436.34
1502,157027.78
1503,286289.4
1504,254178.33
1505,233870.64
1506,195878.0
1507,255271.88
1508,198487.61
1509,162140.77
1510,147568.89
1511,151352.67
1512,174244.14
1513,145256.03
1514,158656.78
1515,189568.92
1516,164403.83
1517,163414.08
1518,137008.03
1519,186288.7
1520,132844.27
1521,133637.28
1522,171130.84
1523,109483.36
1524,123216.64
1525,126819.8
1526,114292.31
1527,107999.72
1528,143864.39
1529,145183.73
1530,181644.78
1531,129036.48
1532,106650.055
1533,140690.2
1534,108029.03
1535,151056.25
1536,116992.22
1537,62140.246
1538,155017.94
1539,204018.11
1540,101989.53
1541,137774.25
1542,141062.14
1543,209492.45
1544,86932.766
1545,113762.55
1546,135250.73
1547,141374.55
1548,134284.02
1549,120447.766
1550,134236.77
1551,123687.484
1552,144029.11
1553,140046.89
1554,117092.9
1555,185119.94
1556,111656.586
1557,111109.336
1558,101978.26
1559,87435.61
1560,144045.88
1561,134021.0
1562,131497.48
1563,125685.64
1564,160200.17
1565,146801.14
1566,259634.48
1567,79192.0
1568,248666.02
1569,141289.17
1570,142798.58
1571,116533.71
1572,142412.67
1573,249678.08
1574,123056.14
1575,258325.81
1576,245407.5
1577,176772.4
1578,146614.88
1579,140821.36
1580,194175.97
1581,158862.27
1582,129570.55
1583,313928.56
1584,229851.58
1585,141158.0
1586,73565.945
1587,99245.03
1588,140517.67
1589,95063.45
1590,130194.87
1591,85466.61
1592,120229.125
1593,128382.305
1594,134942.77
1595,114037.82
1596,247944.62
1597,198417.11
1598,217401.86
1599,155329.66
1600,157500.14
1601,68202.9
1602,112277.516
1603,90706.375
1604,255973.22
1605,245133.3
1606,161936.56
1607,185862.53
1608,202224.1
1609,177466.55
1610,143128.42
1611,137874.12
1612,167786.27
1613,158496.77
1614,119965.74
1615,93209.36
1616,73465.26
1617,87735.9
1618,128383.2
1619,138438.02
1620,179497.89
1621,132762.5
1622,152741.77
1623,261948.77
1624,218911.2
1625,121370.734
1626,164567.45
